"year","sex","age","deaths"
2013,"female",65,794
2014,"female",65,850
2015,"female",65,862
2016,"female",65,889
2017,"female",65,916
2018,"female",65,921
2019,"female",65,1012
2020,"female",65,1840
2021,"female",65,1505
2022,"female",65,1245
2023,"female",65,1118
2024,"female",65,1197
1990,"female",70,423
1991,"female",70,454
1992,"female",70,499
1993,"female",70,482
1994,"female",70,520
1995,"female",70,545
1996,"female",70,559
1997,"female",70,593
1998,"female",70,581
1999,"female",70,553
2000,"female",70,602
2001,"female",70,583
2002,"female",70,609
2003,"female",70,688
2004,"female",70,675
2005,"female",70,752
2006,"female",70,772
2007,"female",70,771
2008,"female",70,801
2009,"female",70,829
2010,"female",70,817
2011,"female",70,846
2012,"female",70,810
2013,"female",70,856
2014,"female",70,908
2015,"female",70,904
2016,"female",70,993
2017,"female",70,958
2018,"female",70,978
2019,"female",70,1051
2020,"female",70,1879
2021,"female",70,1537
2022,"female",70,1319
2023,"female",70,1223
2024,"female",70,1260
1990,"female",75,495
1991,"female",75,427
1992,"female",75,438
1993,"female",75,403
1994,"female",75,383
1995,"female",75,476
1996,"female",75,480
1997,"female",75,578
1998,"female",75,592
1999,"female",75,571
2000,"female",75,576
2001,"female",75,610
2002,"female",75,668
2003,"female",75,662
2004,"female",75,667
2005,"female",75,723
2006,"female",75,665
2007,"female",75,707
2008,"female",75,770
2009,"female",75,806
2010,"female",75,842
2011,"female",75,843
2012,"female",75,837
2013,"female",75,878
2014,"female",75,945
2015,"female",75,919
2016,"female",75,979
2017,"female",75,887
2018,"female",75,963
2019,"female",75,1038
2020,"female",75,1789
2021,"female",75,1431
2022,"female",75,1251
2023,"female",75,1146
2024,"female",75,1185
1990,"female",80,492
1991,"female",80,498
1992,"female",80,453
1993,"female",80,450
1994,"female",80,486
1995,"female",80,442
1996,"female",80,439
1997,"female",80,440
1998,"female",80,450
1999,"female",80,373
2000,"female",80,441
2001,"female",80,463
2002,"female",80,518
2003,"female",80,549
2004,"female",80,585
2005,"female",80,671
2006,"female",80,638
2007,"female",80,625
2008,"female",80,653
2009,"female",80,649
2010,"female",80,788
2011,"female",80,673
2012,"female",80,707
2013,"female",80,774
2014,"female",80,814
2015,"female",80,792
2016,"female",80,884
2017,"female",80,960
2018,"female",80,920
2019,"female",80,978
2020,"female",80,1461
2021,"female",80,1187
2022,"female",80,1163
2023,"female",80,1028
2024,"female",80,956
1990,"female",85,518
1991,"female",85,560
1992,"female",85,575
1993,"female",85,563
1994,"female",85,501
1995,"female",85,694
1996,"female",85,738
1997,"female",85,668
1998,"female",85,637
1999,"female",85,659
2000,"female",85,629
2001,"female",85,636
2002,"female",85,621
2003,"female",85,713
2004,"female",85,657
2005,"female",85,757
2006,"female",85,704
2007,"female",85,724
2008,"female",85,792
2009,"female",85,835
2010,"female",85,911
2011,"female",85,877
2012,"female",85,920
2013,"female",85,1011
2014,"female",85,1058
2015,"female",85,1075
2016,"female",85,999
2017,"female",85,1084
2018,"female",85,1113
2019,"female",85,1095
2020,"female",85,1620
2021,"female",85,1497
2022,"female",85,1494
2023,"female",85,1198
2024,"female",85,1183
